arm,repo_name,scanned_files,high_total,medium_total,low_total,high_per_file,medium_per_file,low_per_file,languages_present,python_files,javascript_files,typescript_files
agent_attributed,launchql/pgsql-parser,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,liam-hq/liam,5,1,3,0,0.2,0.6,0.0,typescript,0,0,5
agent_attributed,macalbert/envilder,1,2,0,0,2.0,0.0,0.0,typescript,0,0,1
agent_attributed,marin-community/marin,2,0,0,0,0.0,0.0,0.0,python,2,0,0
agent_attributed,mastra-ai/mastra,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,mattpocock/total-typescript-monorepo,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,mebjas/html5-qrcode,1,0,1,0,0.0,1.0,0.0,javascript,0,1,0
agent_attributed,mendableai/firecrawl,1,0,2,0,0.0,2.0,0.0,typescript,0,0,1
agent_attributed,mfts/papermark,1,2,1,1,2.0,1.0,1.0,typescript,0,0,1
agent_attributed,microsoft/ApplicationInsights-JS,3,2,0,0,0.667,0.0,0.0,"javascript,typescript",0,1,2
agent_attributed,microsoft/ApplicationInsights-node.js,1,0,4,0,0.0,4.0,0.0,typescript,0,0,1
agent_attributed,microsoft/TypeScript,1,0,6,0,0.0,6.0,0.0,javascript,0,1,0
agent_attributed,microsoft/autogen,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,microsoft/azure-pipelines-tasks,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,microsoft/fabric-cicd,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,microsoft/genaiscript,2,1,0,0,0.5,0.0,0.0,javascript,0,2,0
agent_attributed,microsoft/graphitation,2,0,8,0,0.0,4.0,0.0,javascript,0,2,0
agent_attributed,microsoft/magentic-ui,2,0,0,0,0.0,0.0,0.0,python,2,0,0
agent_attributed,microsoft/react-native-windows,1,0,0,0,0.0,0.0,0.0,javascript,0,1,0
agent_attributed,microsoft/typespec,1,0,1,0,0.0,1.0,0.0,typescript,0,0,1
agent_attributed,microsoft/vscode,4,0,4,0,0.0,1.0,0.0,"javascript,typescript",0,2,2
agent_attributed,microsoft/vscode-mssql,1,1,1,0,1.0,1.0,0.0,javascript,0,1,0
agent_attributed,mlflow/mlflow,4,0,0,0,0.0,0.0,0.0,"python,typescript",3,0,1
agent_attributed,mochilang/mochi,1,0,2,0,0.0,2.0,0.0,typescript,0,0,1
agent_attributed,mrwadams/stride-gpt,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,navidrome/navidrome,1,0,0,0,0.0,0.0,0.0,javascript,0,1,0
agent_attributed,nodetool-ai/nodetool,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
