arm,language,scanned_files,high_total,medium_total,low_total,high_per_file,medium_per_file,low_per_file
agent_attributed_strict_subset,javascript,100,54,74,14,0.54,0.74,0.14
agent_attributed_strict_subset,python,100,11,21,0,0.11,0.21,0.0
agent_attributed_strict_subset,typescript,100,15,53,10,0.15,0.53,0.1
human_control,javascript,100,17,95,13,0.17,0.95,0.13
human_control,python,100,12,5,4,0.12,0.05,0.04
human_control,typescript,100,32,95,6,0.32,0.95,0.06
