arm,language,repo_count,scanned_files,avg_repo_high_per_file,avg_repo_medium_per_file,avg_repo_low_per_file
agent_attributed,javascript,37,100,0.88,1.024,0.126
agent_attributed,python,44,100,0.139,0.177,0.0
agent_attributed,typescript,55,100,0.159,0.821,0.085
human_control,javascript,11,100,0.635,0.9,0.106
human_control,python,5,100,0.102,0.049,0.009
human_control,typescript,6,100,3.706,1.154,0.184
