slice,target,files_scanned,findings_total,high,medium,low,checks_failed,checks_passed,checks_unknown,provider,model,truncated
repo_snapshot,/Users/billp/Documents/GitHub/V8,1124,0,0,0,0,0,13,2,ollama,minimax-m2:cloud,True
engine_runtime,/Users/billp/Documents/GitHub/V8/engine/runtime,28,5,2,2,1,3,9,3,ollama,minimax-m2:cloud,True
api,/Users/billp/Documents/GitHub/V8/api,58,6,1,4,1,1,10,4,ollama,minimax-m2:cloud,True
